expert_id,signup_date,signup_source,utm_campaign,utm_medium,utm_source,country,industry
exp_w1el8kq19,2024-07-03 19:02:11,referral,referral_program,referral,expert_referral,France,Manufacturing
exp_ss25k0ib4,2024-05-07 12:57:36,linkedin_outreach,outreach_finance,outreach,linkedin,Brazil,Energy
exp_qcicgwet5,2024-09-27 19:00:13,paid_search,retargeting_search,cpc,google,Germany,Telecom
exp_aqwlvmzve,2024-08-29 17:11:00,unknown,,,,Australia,Manufacturing
exp_aij08bgdp,2024-02-18 07:53:37,linkedin_outreach,outreach_healthcare,outreach,linkedin,Australia,Legal
exp_h36qls04c,2024-03-02 10:13:16,paid_social,meta_lookalike,social,twitter,Singapore,Energy
exp_1u87fo3mz,2024-07-19 10:01:12,paid_social,linkedin_experts_v1,social,linkedin,Brazil,Telecom
exp_lxl70mesf,2024-05-16 15:51:40,referral,referral_program,referral,expert_referral,United States,Legal
exp_62trcme21,2024-01-31 20:04:59,organic,,organic,bing,Netherlands,Telecom
exp_cyf7tir8r,2024-11-24 09:58:23,paid_social,meta_lookalike,social,twitter,Australia,Energy
exp_29ko3j3jw,2024-04-16 14:05:23,unknown,,,,Germany,Healthcare
exp_iapw0spa9,2024-02-13 15:39:07,unknown,,,,Brazil,Telecom
exp_fzgcw0pic,2024-01-11 21:55:25,unknown,,,,United Kingdom,Legal
exp_2aftglb1m,2024-05-04 03:14:41,referral,referral_program,referral,expert_referral,Netherlands,Retail
exp_8jld7b2cp,2024-05-01 12:06:08,paid_social,twitter_thought_leaders,social,linkedin,United States,Media
exp_s087mtgwo,2024-11-17 04:20:07,referral,referral_program,referral,expert_referral,Singapore,Consulting
exp_2e16goqn4,2024-12-03 18:15:34,unknown,,,,Germany,Manufacturing
exp_1d8tkqzbh,2024-01-04 18:27:52,referral,referral_program,referral,expert_referral,France,Telecom
exp_6mj410yrb,2024-02-24 23:20:18,paid_social,meta_retargeting,social,meta,Netherlands,Telecom
exp_9msjh2ogs,2024-03-04 14:40:04,unknown,,,,Netherlands,Legal
exp_7e46c54ih,2024-05-17 04:09:05,organic,,organic,bing,Canada,Healthcare
exp_eqphjxht7,2024-02-23 19:32:33,unknown,,,,United Kingdom,Telecom
exp_xvw9pm52p,2024-04-16 02:20:27,referral,referral_program,referral,expert_referral,United States,Media
exp_bg4usl5cd,2024-09-17 00:49:57,organic,,organic,bing,Singapore,Consulting
exp_c8fwpx7qe,2024-12-30 01:14:30,linkedin_outreach,outreach_finance,outreach,linkedin,France,Finance
exp_tjdeqvw1q,2024-06-03 08:57:30,paid_social,twitter_thought_leaders,social,twitter,Germany,Legal
exp_w8f3cdqyl,2024-11-13 04:20:09,unknown,,,,India,Retail
exp_x5yflfomw,2024-02-09 13:25:45,unknown,,,,Canada,Media
exp_8y2bvsik3,2024-07-16 14:52:13,paid_social,meta_lookalike,social,linkedin,France,Finance
exp_466c6ox60,2024-08-28 06:18:13,paid_search,industry_healthcare,cpc,google,Singapore,Consulting
exp_jiy38m7u8,2024-11-18 08:01:02,paid_social,twitter_thought_leaders,social,meta,Australia,Finance
exp_nhtwpkokw,2024-12-26 20:48:57,paid_search,retargeting_search,cpc,google,Netherlands,Manufacturing
exp_g77b8uh1h,2024-08-27 14:43:10,paid_social,twitter_thought_leaders,social,twitter,United Kingdom,Manufacturing
exp_4bdn2nzpy,2024-10-29 00:34:38,referral,referral_program,referral,expert_referral,India,Healthcare
exp_lblrobmc1,2024-02-14 11:43:40,referral,referral_program,referral,expert_referral,Brazil,Finance
exp_lk3rjxwye,2024-04-20 09:49:25,linkedin_outreach,outreach_tech,outreach,linkedin,Canada,Media
exp_vpobt42ai,2024-12-20 22:02:54,paid_social,meta_retargeting,social,twitter,Germany,Retail
exp_dimtslv76,2024-11-12 03:19:41,organic,,organic,bing,Brazil,Technology
exp_vicwkksh5,2024-08-09 20:04:42,unknown,,,,Australia,Energy
exp_ndpop9xwj,2024-03-24 06:05:14,organic,,organic,direct,Germany,Healthcare
exp_pzagr9qye,2024-06-14 21:49:57,linkedin_outreach,outreach_finance,outreach,linkedin,India,Consulting
exp_fennqd0qp,2024-02-27 04:09:30,organic,,organic,bing,France,Manufacturing
exp_xkv5umull,2024-03-17 21:50:50,linkedin_outreach,outreach_consulting,outreach,linkedin,Canada,Finance
exp_lxus31f6v,2024-03-25 02:12:18,linkedin_outreach,outreach_consulting,outreach,linkedin,France,Retail
exp_xmqa3zaff,2024-03-10 08:00:40,organic,,organic,google,United Kingdom,Retail
exp_ccofwan0x,2024-02-02 07:09:59,unknown,,,,Brazil,Healthcare
exp_d70zyau9d,2024-02-22 18:20:37,organic,,organic,google,Netherlands,Healthcare
exp_kfey323r0,2024-10-26 05:05:29,organic,,organic,direct,United Kingdom,Media
exp_2jvy80ud4,2024-06-04 06:59:00,unknown,,,,France,Legal
exp_drt3hu7dx,2024-03-24 16:51:39,paid_social,linkedin_experts_v1,social,meta,France,Media
exp_n1saw66yt,2024-07-03 14:37:13,paid_search,industry_healthcare,cpc,google,Australia,Legal
exp_tngsy5d43,2024-04-16 14:41:37,paid_search,expert_generic,cpc,google,Australia,Telecom
exp_u2tf5xsdq,2024-06-24 16:19:19,unknown,,,,United Kingdom,Consulting
exp_fb78yzktl,2024-03-06 23:14:38,referral,referral_program,referral,expert_referral,Netherlands,Legal
exp_bo5fvtvrp,2024-11-11 08:35:09,paid_social,meta_retargeting,social,meta,Canada,Telecom
exp_7yr1fc5uo,2024-12-07 14:47:57,unknown,,,,Brazil,Healthcare
exp_4yqtcodmx,2024-07-27 18:58:48,referral,referral_program,referral,expert_referral,France,Legal
exp_bymzzq8o4,2024-06-14 22:06:57,paid_search,industry_healthcare,cpc,google,Brazil,Retail
exp_tfugmn6bo,2024-06-28 20:57:00,unknown,,,,Australia,Telecom
exp_jvnky4dri,2024-01-05 08:25:56,paid_search,brand_search_q1,cpc,google,Singapore,Technology
exp_bb4v8sgaa,2024-04-04 18:23:48,unknown,,,,United States,Finance
exp_lmkmyk2ut,2024-03-15 17:53:06,referral,referral_program,referral,expert_referral,Brazil,Retail
exp_j4qo2b5h2,2024-06-03 08:58:32,organic,,organic,bing,Germany,Media
exp_w50tlihdf,2024-09-11 17:47:05,paid_search,brand_search_q1,cpc,google,France,Healthcare
exp_fhrvvnlwh,2024-08-13 21:37:40,unknown,,,,Brazil,Energy
exp_tk08tilqy,2024-06-23 11:38:14,unknown,,,,Netherlands,Legal
exp_s8l0w3az1,2024-03-16 01:37:48,paid_social,meta_lookalike,social,twitter,India,Legal
exp_3k56oaoup,2024-08-09 10:54:10,unknown,,,,Germany,Healthcare
exp_87dpjls7n,2024-10-31 14:30:03,linkedin_outreach,outreach_consulting,outreach,linkedin,France,Telecom
exp_jo4ib1wyz,2024-01-22 09:07:28,paid_search,competitor_conquest,cpc,google,Singapore,Telecom
exp_jvg13kl8s,2024-04-05 05:39:23,linkedin_outreach,outreach_finance,outreach,linkedin,Brazil,Technology
exp_gw9bp92cx,2024-06-10 21:54:01,organic,,organic,google,Netherlands,Healthcare
exp_sw1dw2rs0,2024-02-03 10:21:40,paid_social,meta_retargeting,social,meta,India,Media
exp_lc7wvyv2f,2024-04-13 11:33:53,paid_search,retargeting_search,cpc,google,Germany,Media
exp_heacbccs8,2024-11-05 08:03:14,organic,,organic,google,Brazil,Healthcare
exp_ipduajz24,2024-02-15 19:59:34,referral,referral_program,referral,expert_referral,Australia,Energy
exp_haj7vcvgt,2024-08-07 21:45:40,referral,referral_program,referral,expert_referral,India,Media
exp_s391gm267,2024-08-19 03:08:52,linkedin_outreach,outreach_healthcare,outreach,linkedin,United Kingdom,Legal
exp_ld5oy4fb2,2024-03-18 19:59:38,paid_social,linkedin_experts_v1,social,linkedin,Canada,Technology
exp_m9y0gbkid,2024-10-13 15:39:54,linkedin_outreach,outreach_healthcare,outreach,linkedin,United Kingdom,Healthcare
exp_efoewcmms,2024-06-07 12:08:09,unknown,,,,Germany,Technology
exp_76rdvpbj2,2024-08-30 06:34:55,unknown,,,,India,Retail
exp_zciohylop,2024-09-19 02:29:44,unknown,,,,Germany,Manufacturing
exp_925n07jt9,2024-07-22 07:15:42,paid_search,industry_healthcare,cpc,google,Germany,Retail
exp_fitenfe6u,2024-10-07 23:13:53,paid_search,expert_generic,cpc,google,Brazil,Consulting
exp_zs1tjstim,2024-02-26 14:18:02,unknown,,,,Australia,Legal
exp_kgg8uufm7,2024-04-23 00:08:16,paid_social,linkedin_experts_v1,social,linkedin,Singapore,Retail
exp_ant7relwu,2024-12-26 20:47:17,referral,referral_program,referral,expert_referral,India,Media
exp_39v714q24,2024-04-14 04:59:07,paid_social,linkedin_experts_v1,social,linkedin,India,Finance
exp_nc7z9xxwo,2024-08-09 00:45:54,referral,referral_program,referral,expert_referral,Germany,Technology
exp_onerchcwd,2024-05-08 02:50:21,unknown,,,,Australia,Technology
exp_2q9iuut15,2024-01-02 10:35:24,organic,,organic,google,Singapore,Finance
exp_wxnd1s924,2024-05-13 00:17:44,paid_social,linkedin_experts_v2,social,linkedin,Australia,Technology
exp_bqo1tsyqq,2024-11-25 16:07:21,linkedin_outreach,outreach_consulting,outreach,linkedin,Brazil,Technology
exp_qskk3en5d,2024-03-01 17:47:14,linkedin_outreach,outreach_healthcare,outreach,linkedin,Germany,Healthcare
exp_qfdcd6yd2,2024-06-27 01:53:50,linkedin_outreach,outreach_finance,outreach,linkedin,Canada,Telecom
exp_kci3dznuc,2024-10-01 03:30:18,linkedin_outreach,outreach_finance,outreach,linkedin,Brazil,Media
exp_jzgd7kopu,2024-04-30 17:33:13,paid_social,twitter_thought_leaders,social,twitter,Canada,Retail
exp_ajv77eq7f,2024-08-20 22:19:43,paid_social,linkedin_experts_v2,social,twitter,Canada,Manufacturing
exp_8d6d5xhd6,2024-04-04 03:21:01,paid_social,meta_lookalike,social,linkedin,Germany,Manufacturing
exp_sfphxkhuh,2024-06-12 17:18:25,paid_search,retargeting_search,cpc,google,United Kingdom,Manufacturing
exp_3el2zcbol,2024-11-05 06:39:13,paid_search,retargeting_search,cpc,google,Brazil,Media
exp_n9k06ybff,2024-09-05 15:50:04,unknown,,,,Germany,Consulting
exp_4ntr1gxae,2024-03-18 10:10:38,unknown,,,,Netherlands,Manufacturing
exp_qbt5q3t4r,2024-05-05 12:15:12,referral,referral_program,referral,expert_referral,Brazil,Legal
exp_uu47yedt6,2024-05-27 07:24:02,referral,referral_program,referral,expert_referral,United Kingdom,Retail
exp_t9rai0o5h,2024-04-22 23:36:50,referral,referral_program,referral,expert_referral,Canada,Finance
exp_2d5omqooa,2024-03-04 18:28:33,organic,,organic,bing,Germany,Consulting
exp_vc0j1ctws,2024-10-10 01:53:01,organic,,organic,bing,Canada,Retail
exp_1zhspm02f,2024-07-03 10:03:25,organic,,organic,bing,France,Retail
exp_39hwxv7jq,2024-05-24 16:26:47,referral,referral_program,referral,expert_referral,United States,Media
exp_pwwzblcsq,2024-07-03 00:23:45,organic,,organic,google,United States,Manufacturing
exp_shirgzpa8,2024-11-11 17:47:15,paid_search,expert_generic,cpc,google,France,Telecom
exp_5tcg2tfix,2024-09-05 20:11:53,linkedin_outreach,outreach_consulting,outreach,linkedin,Australia,Telecom
exp_3xx8kciqn,2024-07-12 13:08:42,paid_social,linkedin_experts_v1,social,twitter,Netherlands,Telecom
exp_6eemyhp03,2024-01-12 06:22:26,organic,,organic,bing,Netherlands,Consulting
exp_4isocfzsh,2024-02-14 11:57:57,paid_search,brand_search_q1,cpc,google,United States,Manufacturing
exp_ufcuo11gd,2024-05-11 15:59:47,referral,referral_program,referral,expert_referral,United Kingdom,Legal
exp_wrd699dnv,2024-06-02 04:03:15,linkedin_outreach,outreach_tech,outreach,linkedin,Australia,Manufacturing
exp_js1dmpvyl,2024-10-21 07:03:09,paid_social,meta_retargeting,social,twitter,Canada,Media
exp_7p5d4ukoz,2024-11-26 08:48:41,organic,,organic,bing,Brazil,Manufacturing
exp_e96fk61l3,2024-11-25 11:36:36,paid_search,industry_finance,cpc,google,United States,Technology
exp_iughd0l56,2024-10-01 13:05:08,referral,referral_program,referral,expert_referral,Australia,Manufacturing
exp_8j259cy3w,2024-08-21 18:44:52,linkedin_outreach,outreach_finance,outreach,linkedin,United States,Finance
exp_4qudjraxm,2024-08-31 00:35:30,referral,referral_program,referral,expert_referral,Germany,Consulting
exp_wahgs5pmy,2024-05-29 20:23:54,paid_search,industry_healthcare,cpc,google,Canada,Healthcare
exp_7jfonrlyv,2024-10-04 05:37:49,paid_search,industry_finance,cpc,google,United States,Healthcare
exp_jotor5h2h,2024-03-19 20:43:31,unknown,,,,United States,Telecom
exp_ynq9s2879,2024-08-15 02:16:53,referral,referral_program,referral,expert_referral,United States,Media
exp_etzns7o6h,2024-01-12 14:45:52,linkedin_outreach,outreach_healthcare,outreach,linkedin,United Kingdom,Healthcare
exp_22sygrla6,2024-12-27 00:01:39,unknown,,,,Singapore,Legal
exp_vb8tubxgy,2024-06-26 12:34:30,paid_search,industry_healthcare,cpc,google,Singapore,Legal
exp_q4ufb44b7,2024-03-06 15:39:52,unknown,,,,United States,Retail
exp_wbe7ziixw,2024-03-22 01:51:40,unknown,,,,Singapore,Finance
exp_7r2rohrrp,2024-09-19 23:40:36,referral,referral_program,referral,expert_referral,Australia,Media
exp_rn4ooq9yo,2024-06-15 03:04:03,linkedin_outreach,outreach_tech,outreach,linkedin,Netherlands,Energy
exp_carid276s,2024-01-18 14:51:29,paid_social,twitter_thought_leaders,social,linkedin,India,Consulting
exp_rtx72p467,2024-04-06 10:25:14,unknown,,,,Canada,Consulting
exp_exmay9lp8,2024-10-28 04:39:24,paid_search,retargeting_search,cpc,google,France,Healthcare
exp_cs96k9u6b,2024-07-08 08:50:55,unknown,,,,Australia,Legal
exp_s82wjz2o0,2024-07-14 08:26:10,organic,,organic,direct,Germany,Finance
exp_dkq7dp9xw,2024-02-20 17:36:26,referral,referral_program,referral,expert_referral,India,Technology
exp_i2tf5jw0i,2024-05-31 08:47:56,referral,referral_program,referral,expert_referral,Singapore,Finance
exp_0i0f83837,2024-08-26 20:40:01,linkedin_outreach,outreach_consulting,outreach,linkedin,United States,Telecom
exp_pchyt1bud,2024-09-15 16:43:33,paid_social,meta_lookalike,social,linkedin,United Kingdom,Technology
exp_41s32xyyc,2024-04-19 16:50:20,referral,referral_program,referral,expert_referral,Brazil,Technology
exp_hbufscj0y,2024-10-16 09:53:22,paid_social,meta_lookalike,social,twitter,United Kingdom,Technology
exp_uigcfkba3,2024-11-02 02:30:42,paid_search,industry_healthcare,cpc,google,Australia,Retail
exp_uq08nmrqy,2024-10-23 01:12:17,linkedin_outreach,outreach_healthcare,outreach,linkedin,United States,Retail
exp_xksig09hf,2024-08-06 21:31:57,organic,,organic,direct,United States,Manufacturing
exp_okqdgdiwc,2024-12-11 19:34:43,referral,referral_program,referral,expert_referral,Australia,Finance
exp_zg25ms3j6,2024-07-10 17:04:12,linkedin_outreach,outreach_finance,outreach,linkedin,India,Healthcare
exp_p1z9zqm4n,2024-11-11 12:03:43,organic,,organic,bing,United States,Legal
exp_hyll7f8v1,2024-05-31 17:38:11,linkedin_outreach,outreach_tech,outreach,linkedin,United States,Media
exp_g9zw0gr3j,2024-08-14 10:46:55,unknown,,,,Germany,Consulting
exp_6bhshzy2q,2024-01-21 16:10:38,unknown,,,,Brazil,Retail
exp_iiqfpsdfu,2024-11-23 22:12:33,paid_search,competitor_conquest,cpc,google,Germany,Energy
exp_a8c1i08d3,2024-02-18 07:20:12,organic,,organic,bing,Singapore,Technology
exp_qa8sdplws,2024-05-17 23:07:32,paid_social,linkedin_experts_v1,social,linkedin,Canada,Consulting
exp_92fihl5ar,2024-02-27 16:43:36,paid_search,competitor_conquest,cpc,google,Netherlands,Telecom
exp_q8g4sypg4,2024-05-11 09:31:31,organic,,organic,direct,Germany,Energy
exp_zd1159ijx,2024-01-22 19:13:25,paid_search,brand_search_q1,cpc,google,Netherlands,Energy
exp_7fg763x66,2024-08-03 00:06:44,unknown,,,,Australia,Media
exp_fwouuj1j5,2024-02-21 00:33:47,linkedin_outreach,outreach_finance,outreach,linkedin,Singapore,Technology
exp_vdnhqk1c8,2024-10-12 20:45:53,referral,referral_program,referral,expert_referral,Brazil,Legal
exp_ss2uxf8au,2024-03-28 08:48:26,paid_social,linkedin_experts_v1,social,twitter,Netherlands,Technology
exp_5iqvh82h0,2024-01-25 05:40:05,paid_search,industry_healthcare,cpc,google,India,Media
exp_40drnikl3,2024-10-19 23:40:24,paid_social,meta_retargeting,social,meta,India,Retail
exp_l6gcx4tgo,2024-04-21 17:34:55,organic,,organic,google,Germany,Retail
exp_vm308loyy,2024-10-27 18:35:37,referral,referral_program,referral,expert_referral,France,Manufacturing
exp_bms0bxez0,2024-02-10 17:47:28,unknown,,,,Netherlands,Retail
exp_zwzctxkgz,2024-05-19 02:37:21,linkedin_outreach,outreach_tech,outreach,linkedin,Netherlands,Energy
exp_n015ovuxl,2024-06-02 13:10:27,organic,,organic,bing,Singapore,Energy
exp_5hreadc1d,2024-11-06 15:36:52,unknown,,,,Germany,Energy
exp_s570qem5r,2024-09-18 21:25:51,linkedin_outreach,outreach_consulting,outreach,linkedin,Canada,Media
exp_4rz8d2vg1,2024-12-10 12:53:15,referral,referral_program,referral,expert_referral,Canada,Healthcare
exp_yrznfr2iy,2024-12-07 12:29:32,referral,referral_program,referral,expert_referral,Australia,Legal
exp_m17jw9wug,2024-07-12 15:53:13,organic,,organic,bing,Netherlands,Consulting
exp_hpdqsx9ap,2024-02-11 17:13:00,paid_social,linkedin_experts_v2,social,twitter,Singapore,Consulting
exp_5ilkihn2n,2024-01-24 19:43:42,paid_social,meta_retargeting,social,meta,Australia,Consulting
exp_xvvaf1a52,2024-06-20 12:28:33,linkedin_outreach,outreach_consulting,outreach,linkedin,Germany,Healthcare
exp_6n9lrz6ny,2024-08-12 06:05:59,organic,,organic,direct,France,Retail
exp_8v5heke0y,2024-03-20 09:06:23,organic,,organic,direct,Germany,Retail
exp_mmp7jhlwm,2024-10-01 18:17:46,organic,,organic,direct,Canada,Manufacturing
exp_0hcet42uv,2024-05-30 23:17:30,linkedin_outreach,outreach_consulting,outreach,linkedin,Germany,Technology
exp_8dmdqcjqg,2024-09-14 03:34:06,paid_search,competitor_conquest,cpc,google,France,Finance
exp_y80e0hzlm,2024-07-03 22:39:31,linkedin_outreach,outreach_finance,outreach,linkedin,United Kingdom,Legal
exp_9hen0u3gv,2024-12-27 08:18:49,paid_social,meta_lookalike,social,meta,Netherlands,Consulting
exp_q6l1s035e,2024-04-05 15:55:07,paid_social,meta_lookalike,social,twitter,France,Media
exp_jeb6fwr1r,2024-06-19 19:40:51,referral,referral_program,referral,expert_referral,France,Consulting
exp_1qx3pzuvl,2024-10-08 02:08:52,paid_social,linkedin_experts_v2,social,twitter,United States,Media
exp_c5v5z3ben,2024-01-14 15:32:17,linkedin_outreach,outreach_healthcare,outreach,linkedin,Australia,Retail
exp_piorxpcnu,2024-07-21 09:21:44,referral,referral_program,referral,expert_referral,France,Technology
exp_cbp7haukq,2024-10-01 01:07:16,paid_search,competitor_conquest,cpc,google,Netherlands,Energy
exp_ejv6gdbz3,2024-07-10 05:07:48,paid_search,brand_search_q1,cpc,google,United Kingdom,Retail
exp_b6pgfaz8k,2024-12-07 23:43:28,organic,,organic,bing,Brazil,Media
exp_eqllbysa0,2024-04-10 04:56:18,linkedin_outreach,outreach_healthcare,outreach,linkedin,Canada,Media
exp_w4ubeyxb5,2024-04-21 13:38:06,paid_search,retargeting_search,cpc,google,United Kingdom,Finance
exp_x84cwgv8c,2024-06-05 22:03:06,unknown,,,,United Kingdom,Legal
exp_0tgyxbjsy,2024-05-29 14:30:50,paid_social,meta_retargeting,social,meta,Netherlands,Media
exp_25fvyfzs0,2024-08-09 11:58:02,unknown,,,,India,Retail
exp_11ulbeb6k,2024-06-22 13:21:32,unknown,,,,United Kingdom,Retail
exp_5ex4kruja,2024-10-09 06:40:10,organic,,organic,direct,Australia,Finance
exp_de72kunbs,2024-01-18 18:48:44,linkedin_outreach,outreach_consulting,outreach,linkedin,Singapore,Legal
exp_sajy5g9vs,2024-01-27 00:25:27,organic,,organic,bing,France,Healthcare
exp_5864px9ib,2024-10-11 16:45:43,paid_social,meta_retargeting,social,twitter,France,Retail
exp_bot5enm0l,2024-05-10 13:25:58,paid_social,meta_lookalike,social,meta,Australia,Energy
exp_kku24j3j6,2024-09-17 21:09:41,paid_social,linkedin_experts_v2,social,twitter,Germany,Media
exp_ujv38ab1t,2024-11-05 14:25:47,referral,referral_program,referral,expert_referral,United States,Manufacturing
exp_ey184mnf8,2024-03-16 00:10:34,referral,referral_program,referral,expert_referral,Germany,Energy
exp_2qde9tyow,2024-12-14 04:21:13,organic,,organic,google,France,Manufacturing
exp_v5mbhj075,2024-03-09 08:59:37,paid_social,twitter_thought_leaders,social,twitter,Germany,Technology
exp_zj5lf7crv,2024-10-20 10:51:42,organic,,organic,google,United Kingdom,Legal
exp_q9y1owlfs,2024-12-27 12:53:22,linkedin_outreach,outreach_healthcare,outreach,linkedin,Brazil,Retail
exp_wneynbmjv,2024-12-07 10:22:42,organic,,organic,direct,Canada,Finance
exp_4aghrtglr,2024-09-06 06:20:11,paid_social,meta_retargeting,social,linkedin,Canada,Energy
exp_oahdpiu2z,2024-03-07 00:03:42,referral,referral_program,referral,expert_referral,United Kingdom,Healthcare
exp_8reg3hrxd,2024-01-30 04:16:05,organic,,organic,direct,Germany,Manufacturing
exp_nv57olu6c,2024-12-06 18:34:10,paid_social,twitter_thought_leaders,social,meta,Singapore,Energy
exp_gyr1nbosh,2024-10-16 15:10:07,referral,referral_program,referral,expert_referral,Netherlands,Manufacturing
exp_5g8alix58,2024-05-25 12:31:00,organic,,organic,google,France,Retail
exp_ublfothgh,2024-02-04 03:16:02,paid_social,linkedin_experts_v2,social,meta,United Kingdom,Media
exp_u6zmin61h,2024-04-11 07:03:59,organic,,organic,bing,Australia,Energy
exp_oso1ygdv8,2024-07-09 12:45:09,unknown,,,,France,Telecom
exp_a45s0aymr,2024-05-18 04:16:20,paid_search,competitor_conquest,cpc,google,India,Manufacturing
exp_w7ruhl6cx,2024-09-19 19:11:20,paid_social,meta_retargeting,social,twitter,United Kingdom,Finance
exp_o3t7coxny,2024-08-30 23:13:56,referral,referral_program,referral,expert_referral,Australia,Telecom
exp_fa73kqx92,2024-12-14 11:38:18,referral,referral_program,referral,expert_referral,United States,Telecom
exp_g7fot610y,2024-11-27 05:12:08,organic,,organic,direct,India,Energy
exp_iwgnhbaxv,2024-05-17 07:04:11,unknown,,,,India,Energy
exp_a64yfjldy,2024-05-26 07:54:34,referral,referral_program,referral,expert_referral,India,Finance
exp_1r4fiffpk,2024-06-28 05:59:25,paid_social,linkedin_experts_v1,social,twitter,United States,Finance
exp_224rqody5,2024-01-19 15:49:15,organic,,organic,direct,Singapore,Finance
exp_4fb7pj8jb,2024-05-22 12:22:08,linkedin_outreach,outreach_tech,outreach,linkedin,Netherlands,Healthcare
exp_ev2e8r0au,2024-08-05 20:22:18,paid_search,expert_generic,cpc,google,Canada,Energy
exp_anh01hul0,2024-02-21 16:30:07,paid_social,meta_retargeting,social,twitter,Germany,Manufacturing
exp_dqtg7vi14,2024-02-24 15:00:13,linkedin_outreach,outreach_finance,outreach,linkedin,Australia,Retail
exp_02wjksrrq,2024-03-13 13:17:56,organic,,organic,google,Germany,Healthcare
exp_g8okfpvan,2024-10-23 21:35:03,linkedin_outreach,outreach_consulting,outreach,linkedin,Singapore,Energy
exp_ce170lgtz,2024-04-24 12:42:49,referral,referral_program,referral,expert_referral,Germany,Healthcare
exp_3g9brpnt6,2024-01-21 20:56:25,paid_search,industry_finance,cpc,google,Singapore,Consulting
exp_jctslp3zx,2024-10-05 05:54:15,linkedin_outreach,outreach_consulting,outreach,linkedin,Netherlands,Energy
exp_onw3mfd09,2024-09-28 15:11:04,paid_search,competitor_conquest,cpc,google,Netherlands,Finance
exp_n1n68qj3s,2024-08-24 20:35:52,paid_social,linkedin_experts_v2,social,twitter,Brazil,Manufacturing
exp_vce1dkx5t,2024-05-25 02:13:15,linkedin_outreach,outreach_consulting,outreach,linkedin,Australia,Energy
exp_w6du5jz5y,2024-01-12 16:54:25,organic,,organic,direct,Netherlands,Legal
exp_xllhgcuol,2024-03-03 08:44:31,organic,,organic,direct,Netherlands,Manufacturing
exp_fgh9nlz3q,2024-09-10 17:15:27,linkedin_outreach,outreach_tech,outreach,linkedin,Canada,Manufacturing
exp_75s1id09a,2024-03-10 03:54:17,unknown,,,,Australia,Technology
exp_ritnirleg,2024-08-28 23:23:32,referral,referral_program,referral,expert_referral,Netherlands,Healthcare
exp_oituactij,2024-01-15 01:46:34,paid_search,competitor_conquest,cpc,google,Netherlands,Telecom
exp_pyj0hsc8l,2024-06-10 10:27:27,paid_search,expert_generic,cpc,google,Netherlands,Technology
exp_kz4ph9igy,2024-03-09 21:48:33,paid_social,twitter_thought_leaders,social,meta,Netherlands,Finance
exp_k9vtlhehm,2024-06-04 15:28:40,paid_social,linkedin_experts_v1,social,linkedin,Singapore,Energy
exp_9odoowgpk,2024-12-22 05:25:07,linkedin_outreach,outreach_healthcare,outreach,linkedin,Australia,Telecom
exp_ti33x129r,2024-01-12 14:40:28,unknown,,,,Australia,Energy
